year;month;day;data
2009;11;02;[['ollila', 'tienata', 'liki', 'wi', 'miljoona'], ['katsoa', 'yle', 'fi', 'verokoi'], ['keskustaryhmä', 'ministeri', 'kierto'], ['noutoruoka', 'alennus', 'ei', 'olla', 'taattu'], ['nhl', 'carolina', 'rämpiä', 'syvä']]
2009;11;03;[['upm', 'vähentää', 'lähes', '900', 'henki'], ['nokia', 'rengas', 'tulos', 'puolittua'], ['lissabon', 'sopimus', 'edetä', 'tshekki'], ['p', 'korea', 'rikastanut', 'plutonium'], ['hifk', 'puolustus', 'kova', 'vahvistus']]
2009;11;04;[['suosio', 'rasittaa', 'mobiilinetti'], ['sampo', 'nordea', 'operaatio', 'liki', 'valmis'], ['obama', 'takaisku', 'vaali'], ['toyota', 'ilmoittaa', 'jättävä', 'f1n']]
2009;11;05;[['kaikki', 'rokotus', 'päätös', 'pian'], ['metso', 'metso', 'tamfelt', 'yhdistyä'], ['ek', 'yritys', 'elpyä', 'hidas'], ['aalto', 'viedä', 'yliopisto', 'kehitysraha'], ['yk', 'vetää', 'henkilöstö', 'afganistan']]
2009;11;06;[['ensimmäinen', 'syyte', 'wincapitasta'], ['tunne', 'kuumeta', 'rokotusjono'], ['kansanetu', 'kansanedustaja', 'tiukka', 'lahjuslaki'], ['afganistan', 'operaatio', 'muutos'], ['teemu', 'selänne', '2', '0', 'saku', 'koivu', '0', '2']]
2009;11;07;[['wallin', 'pääomavero', 'vaaliteema'], ['tuulivoima', 'maatila', 'sivutoimi'], ['hin1', 'rokote', 'päätyä', 'roskakori'], ['pikkarainen', 'ensimmäinen', 'nhl', 'piste']]
2009;11;08;[['vanhanen', 'rehn', 'peruskomissaari'], ['tänään', 'viettää', 'isänpäivä'], ['seitsemän', 'kuolla', 'tulipalko', 'riika'], ['niinistö', 'palloliitonjohto'], ['pyörälä', 'ratkaista', 'rankkarikisa']]
2009;11;09;[['helsinki', 'putkirikko', 'suurvahinko'], ['helsinki', 'poikkeusliikenne'], ['lento', 'lento', 'peruttu', 'ylityökielto', 'takia'], ['karzai', 'kitkeä', 'korruptio'], ['lei', 'leijona', 'murska', 'tre', 'kronorin', '7', '0'], ['niinistö', 'palloliitto', 'johto'], ['yleisurheilu', 'em', 'isäntä', 'vääntö']]
2009;11;10;[['suomi', 'tiede', 'laatu', 'heiketä'], ['turku', 'telakka', 'yli', '400', 'pois'], ['sähkönkulutus', 'kasvu', 'voi', 'taittu'], ['korea', 'ottaa', 'yksi', 'meri'], ['presidenttifoorumi', 'yle', 'fi', 'uutinen']]
2009;11;11;[['mika', 'vehviläinen', 'finnair', 'johto'], ['lääkekauppa', 'vapautus', 'laskea', 'hinta'], ['hammas', 'hoito', 'pitkittyä', 'liika'], ['brasilia', 'massiivinen', 'sähkökatko'], ['nhl', 'mikko', 'koivu', 'kurittaa', 'toronto']]
